cpu1_temp,cpu2_temp,average_fan_speed,working
27,26,9797.142857142857,0
30,27,9797.142857142857,0
39,36,9908.57142857143,0
32,30,6017.142857142857,1
28,23,6000.0,1
29,29,6154.285714285715,1
29,27,6102.857142857143,1
30,27,6077.142857142857,1
30,23,6128.571428571428,1
58,22,6180.0,0
30,24,6171.428571428572,1
31,25,9814.285714285714,0
28,21,9265.714285714286,0
26,20,7054.285714285715,1
24,20,7030.0,1
25,22,7028.571428571428,1
26,21,6102.857142857143,1
30,19,6102.857142857143,1
30,20,7028.571428571428,1
32,25,6445.714285714285,1
37,24,6385.714285714285,1
34,27,6342.857142857143,1
37,30,6360.0,1
35,29,6351.428571428572,1
34,22,6077.142857142857,1
37,27,7028.571428571428,1
58,29,6411.428571428572,0
28,30,6368.571428571428,1
32,30,6420.0,1
28,29,6428.571428571428,1
32,29,6402.857142857143,1
28,29,6420.0,1
32,30,6411.428571428572,1
27,25,11305.714285714286,0
30,29,6420.0,1
31,31,6437.142857142857,1
29,28,6428.571428571428,1
30,29,6325.714285714285,1
32,28,6402.857142857143,1
27,27,9857.142857142857,0
33,36,6317.142857142857,1
33,32,6368.571428571428,1
33,32,6402.857142857143,1
28,25,6411.428571428572,1
33,31,6368.571428571428,1
34,60,6317.142857142857,0
33,35,6394.285714285715,1
32,33,6394.285714285715,1
35,36,6394.285714285715,1
30,33,6402.857142857143,1
35,33,6411.428571428572,1
32,30,6377.142857142857,1
32,31,6402.857142857143,1
36,35,6300,1
32,32,6385.714285714285,1
34,35,6325.714285714285,1
26,28,9934.285714285714,0
33,29,6402.857142857143,1
30,32,6385.714285714285,1
27,28,9857.142857142857,0
33,32,6411.428571428572,1
46,32,6334.285714285715,0
25,26,7062.857142857143,1
26,26,7071.428571428572,1
50,60,7062.857142857143,0
30,27,6394.285714285715,1
37,40,7071.428571428572,1
28,26,6402.857142857143,1
30,27,6411.428571428572,1
26,28,6428.571428571428,1
28,28,6402.857142857143,1
28,28,6385.714285714285,1
27,25,6420,1
26,27,6411.428571428572,1
24,24,6402.857142857143,1
27,25,6428.571428571428,1
24,34,7054.285714285715,1
25,24,6428.571428571428,1
27,26,6411.428571428572,1
26,26,6402.857142857143,1
24,23,6411.428571428572,1
24,23,6402.857142857143,1
41,35,7045.714285714285,1
28,22,7080,1
29,22,7071.428571428572,1
30,20,7088.571428571428,1
33,37,6334.285714285715,1
30,21,7071.428571428572,1
37,35,6377.142857142857,1
36,30,6368.571428571428,1
31,21,7028.571428571428,1
